"시도(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"시도(1)",총계,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,음식물류폐기물분리배출
"시도(1)",소계,소계,가연성,가연성,가연성,가연성,가연성,가연성,가연성,불연성,불연성,불연성,불연성,불연성,기타(배출불명 등),소계,종이류,폐유리병류,캔류,플라스틱류,합성수지류,발포수지류,폐전기전자제품,폐전지류,타이어,윤활유,폐형광등,고철류,폐의류,영농폐기물,폐가구류,폐식용유,기타,소계
"시도(1)",소계,소계,소계,음식물류폐기물,폐지류,폐목재류,폐고무류,플라스틱류,기타,소계,폐유리류,폐금속류,폐토사류,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",45460.3,19505.0,16366.6,1127.4,5371.1,1081.1,994.0,3265.3,4527.7,2584.7,430.0,394.1,327.9,1432.7,553.7,12413.3,4236.2,1582.4,686.5,966.7,1147.0,109.3,150.6,18.4,19.0,26.5,177.5,1634.5,160.8,433.5,440.4,44.7,579.3,13542.0
"서울",8750.9,2849.3,2753.8,47.9,956.3,133.2,97.7,328.6,1190.1,91.3,23.7,18.8,13.0,35.8,4.2,3020.8,1332.8,420.7,190.0,272.4,348.6,23.7,18.2,2.2,0.0,12.3,32.1,154.6,39.9,6.7,95.9,34.1,36.6,2880.8
"부산",2847.1,875.2,675.1,74.4,207.5,23.7,35.1,231.8,102.6,83.6,7.0,7.6,0.0,69.0,116.5,1253.1,607.7,171.3,57.5,51.2,80.5,4.9,17.6,0.5,0.0,0.0,1.9,150.2,0.1,0.4,0.0,0.0,109.3,718.8
"대구",2407.9,1120.6,833.1,29.4,286.6,37.2,36.8,216.1,227.0,286.5,48.0,34.5,4.9,199.1,1.0,662.1,193.9,93.6,50.4,58.7,68.8,7.9,3.7,1.3,0.3,0.1,30.8,49.4,18.9,0.1,11.7,1.3,71.2,625.2
"인천",1837.8,805.6,669.8,17.5,198.9,50.0,40.7,89.8,272.9,131.5,18.2,18.7,12.8,81.8,4.3,327.7,109.4,47.0,13.0,32.8,58.7,7.2,4.7,0.5,0.0,0.0,2.8,13.7,14.6,2.4,3.5,0.1,17.3,704.5
"광주",1086.6,436.6,362.4,33.1,147.6,18.9,13.9,108.6,40.3,73.5,0.0,34.2,23.2,16.1,0.7,150.1,11.2,23.6,8.3,28.7,33.0,1.2,1.2,0.2,0.0,0.0,3.5,24.1,0.0,0.1,10.2,3.5,1.3,499.9
"대전",1406.7,489.4,389.2,16.6,138.0,26.4,27.8,70.0,110.4,57.7,20.9,9.6,0.3,26.9,42.5,466.7,149.4,82.6,34.9,50.4,69.7,1.1,0.8,0.4,0.0,0.0,1.2,51.5,0.0,2.9,3.9,0.0,17.9,450.6
"울산",1420.5,682.2,439.1,4.5,96.2,46.0,26.2,73.1,193.1,134.7,13.3,7.7,7.8,105.9,108.4,419.4,106.4,55.5,48.8,23.1,37.7,0.7,4.0,0.1,0.0,0.0,45.0,64.4,8.8,2.9,1.8,0.3,19.9,318.9
"세종",128.5,70.5,65.2,8.3,27.1,1.3,0.9,17.0,10.6,5.3,2.2,1.6,0.3,1.2,0.0,20.9,8.9,0.8,0.4,0.3,7.1,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.8,0.0,1.8,0.0,37.1
"경기",9476.5,4306.9,3893.7,298.0,1211.1,353.6,421.4,768.2,841.4,389.1,49.8,63.8,110.2,165.3,24.1,2019.2,500.2,392.9,127.8,206.7,270.3,42.5,21.0,9.9,0.2,0.1,41.9,118.5,22.3,25.4,168.9,0.9,69.7,3150.4
"강원",1858.9,944.7,720.9,37.1,184.9,35.0,29.2,105.2,329.5,219.5,24.0,21.9,28.2,145.4,4.3,507.0,158.1,40.2,51.8,30.9,15.5,1.2,7.9,0.3,13.3,13.9,2.0,91.8,5.6,33.6,25.9,0.4,14.6,407.2
"충북",1969.9,862.5,641.7,96.4,220.0,26.9,19.9,151.1,127.4,138.5,39.5,24.5,10.5,64.0,82.3,715.4,391.3,18.5,17.6,11.3,21.6,0.8,0.8,0.1,0.0,0.1,0.6,155.7,7.5,62.5,11.4,0.0,15.6,392.0
"충남",1968.5,927.3,832.2,121.4,279.0,82.7,45.4,199.9,103.8,89.9,30.4,28.7,7.0,23.8,5.2,528.6,75.6,37.3,10.6,25.5,26.9,6.7,4.9,0.2,0.0,0.0,2.8,239.9,15.2,59.6,12.3,0.1,11.0,512.6
"전북",1599.5,696.4,597.8,44.7,228.9,19.2,14.7,153.6,136.7,77.4,27.3,17.6,10.1,22.4,21.2,311.8,97.1,26.0,4.6,39.1,14.0,0.7,4.3,0.2,0.9,0.0,2.4,14.7,2.0,41.4,20.2,0.0,44.2,591.3
"전남",1742.1,919.9,825.2,96.0,297.0,40.6,41.2,192.4,158.0,90.6,30.7,31.3,7.2,21.4,4.1,323.4,68.5,24.2,12.6,26.7,13.2,4.0,6.0,1.4,0.1,0.0,1.1,30.2,4.8,69.1,8.8,0.2,52.5,498.8
"경북",2503.4,1502.5,1229.2,88.5,385.9,83.5,52.1,250.9,368.3,215.8,31.9,29.5,43.5,110.9,57.5,332.1,65.6,37.0,13.2,27.3,17.2,2.3,27.4,0.9,0.6,0.0,1.8,38.0,3.7,53.4,27.6,0.1,16.0,668.8
"경남",3445.1,1629.3,1184.3,100.8,408.1,90.9,85.3,277.5,221.7,367.6,30.2,38.5,37.8,261.1,77.4,946.5,243.9,98.7,34.3,54.9,55.0,4.0,27.6,0.1,0.0,0.0,7.2,232.1,10.9,65.6,37.6,1.0,73.6,869.3
"제주",1010.4,386.1,253.9,12.8,98.0,12.0,5.7,31.5,93.9,132.2,32.9,5.6,11.1,82.6,0.0,408.5,116.2,12.5,10.7,26.7,9.2,0.4,0.5,0.1,3.6,0.0,0.3,205.0,6.5,6.6,0.7,0.9,8.6,215.8
